V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,7,859137.0,1.4878523830831052,1.5002504636532734,-0.012398080570168224,-0.24777366719675653
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,8,859137.0,1.4725025202214719,1.5002504636532734,-0.027747943431801536,-0.6756560818022495
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,9,859137.0,1.4862976643323897,1.5002504636532734,-0.013952799320883669,-0.28366896006407405
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed7,TINY,7,9953.0,1.6076449878096581,1.6290370953025612,-0.0213921074929031,-0.12268605450320202
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed8,TINY,8,9953.0,1.6035126973748206,1.6290370953025612,-0.02552439792774064,-0.14822361164209585
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed9,TINY,9,9953.0,1.5886685754418373,1.6290370953025612,-0.040368519860723984,-0.24574612735000212
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS,7,132993.0,1.526984889882803,1.5366248329120906,-0.009639943029287723,-0.10959577862112546
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS,8,132993.0,1.5069818099617958,1.5366248329120906,-0.02964302295029486,-0.38448440713286036
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS,9,132993.0,1.509789845573902,1.5366248329120906,-0.026834987338188565,-0.3410284008373994
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed7,XXS,7,533.0,2.095893610429764,1.8478850236486455,0.24800858678111837,0.47852306725499183
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed8,XXS,8,533.0,2.0723664076685906,1.8478850236486455,0.2244813840199451,0.441779048478725
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed9,XXS,9,533.0,2.1351019425392153,1.8478850236486455,0.2872169188905698,0.5369079610869627
1024,params,best_val_mse,runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L,7,101033041.0,1.2061511988639833,1.2125545955900265,-0.006403396726043287,-0.005294907467631921
