run,run_name,data,size,seed,V,params,lr,batch_size,accum,eff_batch,steps_target,steps_completed,tokens_target,tokens_seen,n_history_rows,n_val_points,has_logged_gauss_nll,gauss_nll_source,best_step_mse,best_val_mse,best_step_mae,best_val_mae,best_step_gauss_nll,best_val_gauss_nll,val_mae_at_best_mse,val_gauss_nll_at_best_mse,final_step,final_val_mse,final_val_mae,final_val_gauss_nll
runs\bench_gpu_xs,bench_gpu_xs,,XS,7,1024,165761,0.00025,32,1,32,-1,150,-1,4915200,11,4,False,derived_from_best_mse,150,1.227893814444542,150,0.6219205223023891,-1,1.521588711036744,0.6219205223023891,1.521588711036744,150,1.227893814444542,0.6219205223023891,1.521588711036744
runs\bench_gpu_xs_300,bench_gpu_xs_300,,XS,7,1024,165761,0.00025,32,1,32,-1,300,-1,9830400,17,6,False,derived_from_best_mse,300,1.2120021060109138,120,0.5718276314437389,-1,1.5150753458438628,0.5941910855472088,1.5150753458438628,300,1.2120021060109138,0.5941910855472088,1.5150753458438628
runs\demo_xs,demo_xs,,XS,7,1024,165761,0.00025,4,32,128,-1,15000,-1,1966080000,3002,1501,False,derived_from_best_mse,14920,1.1246779441833497,14880,0.5491669343312582,-1,1.477686894622551,0.5814880062739054,1.477686894622551,15000,1.1306457343101501,0.6492489749590555,1.4803329911062528
runs\quick_gpu_xs,quick_gpu_xs,,XS,7,1024,165761,0.00025,32,1,32,-1,200,-1,6553600,22,11,False,derived_from_best_mse,200,1.2030946798622608,120,0.549567848443985,-1,1.5113871017161788,0.6180672626942396,1.5113871017161788,200,1.2030946798622608,0.6180672626942396,1.5113871017161788
runs\quick_gpu_xs_100,quick_gpu_xs_100,,XS,7,1024,165761,0.00025,32,1,32,-1,100,-1,3276800,12,6,False,derived_from_best_mse,100,1.2273444011807442,100,0.6393141560256481,-1,1.5213649391560884,0.6393141560256481,1.5213649391560884,100,1.2273444011807442,0.6393141560256481,1.5213649391560884
runs\smoke_xs,smoke_xs,,XS,7,1024,165761,0.00025,4,1,4,-1,50,-1,204800,22,11,False,derived_from_best_mse,50,1.5281817049980164,10,0.6456352586746216,-1,1.6309778334835703,0.8504020347595215,1.6309778334835703,50,1.5281817049980164,0.8504020347595215,1.6309778334835703
runs\cpu_parallel_xs_D10kV1024_S3000_seed11,cpu_parallel_xs_D10kV1024_S3000_seed11,,XS,11,1024,165761,0.00025,32,1,32,-1,3000,-1,98304000,44,13,False,derived_from_best_mse,3000,1.080743432044983,3000,0.5529994070529938,-1,1.457763116868472,0.5529994070529938,1.457763116868472,3000,1.080743432044983,0.5529994070529938,1.457763116868472
runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed12,XS_B32_S3000_seed12,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XS,12,1024,165761,0.00025,32,1,32,3000,3000,98304000,98304000,44,13,False,derived_from_best_mse,3000,1.077970676124096,1500,0.5488141141831875,-1,1.456478668207469,0.5898733306676149,1.456478668207469,3000,1.077970676124096,0.5898733306676149,1.456478668207469
runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed13,XS_B32_S3000_seed13,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XS,13,1024,165761,0.00025,32,1,32,3000,3000,98304000,98304000,44,13,False,derived_from_best_mse,3000,1.0983517430722713,3000,0.5528043303638697,-1,1.4658438535388936,0.5528043303638697,1.4658438535388936,3000,1.0983517430722713,0.5528043303638697,1.4658438535388936
runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S_V1024_B4x4_S30_seed1,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,S,1,1024,924673,1.5625e-05,4,4,16,30,30,491520,491520,8,4,False,derived_from_best_mse,30,1.906025616645813,30,1.1304660811424256,-1,1.7414486557770448,1.1304660811424256,1.7414486557770448,30,1.906025616645813,1.1304660811424256,1.7414486557770448
runs\sweep_gpu_scaling_XSSM\S_V1024_B4x8_S20000_seed7,S_V1024_B4x8_S20000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,S,7,1024,924673,3.125e-05,4,8,32,20000,20000,655360000,655360000,112,11,False,derived_from_best_mse,20000,1.1916117253303529,8000,0.5958089892864227,-1,1.5065919241032353,0.6112405822277069,1.5065919241032353,20000,1.1916117253303529,0.6112405822277069,1.5065919241032353
runs\sweep_gpu_census50k\S_V1024_B4x8_S30000_seed7,S_V1024_B4x8_S30000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D50000.V1024.log1p.h5ad,S,7,1024,924673,3.125e-05,4,8,32,30000,30000,983040000,983040000,332,31,False,derived_from_best_mse,30000,1.1285268701553344,24000,0.5500324320316314,-1,1.4793950969533625,0.5768051298856736,1.4793950969533625,30000,1.1285268701553344,0.5768051298856736,1.4793950969533625
runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S_V1024_B4x8_S60000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,S,7,1024,924673,3.125e-05,4,8,32,60000,60000,1966080000,1966080000,332,31,False,derived_from_best_mse,58000,1.1402008805274964,36000,0.5650961129665375,-1,1.4845407621407243,0.6226713206768036,1.4845407621407243,60000,1.1404977536201477,0.5776313269138336,1.484670929752474
runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S_V1024_B8x8_S400_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,S,7,1024,924673,6.25e-05,8,8,64,400,400,26214400,26214400,17,6,False,derived_from_best_mse,320,1.5877491254655143,240,0.6953492235569727,-1,1.6500972176545081,0.9039682736472477,1.6500972176545081,400,1.627389362880162,0.9687679646507142,1.662427089701033
runs\sweep_gpu_scaling_XSSM\M_V1024_B4x8_S20000_seed7,M_V1024_B4x8_S20000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,M,7,1024,19440641,3.125e-05,4,8,32,20000,20000,655360000,655360000,112,11,False,derived_from_best_mse,16000,1.2079644384384156,20000,0.561504352092743,-1,1.513406863554928,0.6288298106193543,1.513406863554928,20000,1.2178315224647522,0.561504352092743,1.517474451514991
runs\sweep_gpu_census50k\M_V1024_B4x8_S30000_seed7,M_V1024_B4x8_S30000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D50000.V1024.log1p.h5ad,M,7,1024,19440641,3.125e-05,4,8,32,30000,30000,983040000,983040000,100,10,False,derived_from_best_mse,30000,1.1016968525886535,27000,0.5494100843429566,-1,1.4673643254506321,0.5538703483104706,1.4673643254506321,30000,1.1016968525886535,0.5538703483104706,1.4673643254506321
runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M_V1024_B4x8_S40000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,M,7,1024,19440641,3.125e-05,4,8,32,40000,40000,1310720000,1310720000,222,21,False,derived_from_best_mse,40000,1.1652829551696777,20000,0.561504352092743,-1,1.4954205019552078,0.5780633962154389,1.4954205019552078,40000,1.1652829551696777,0.5780633962154389,1.4954205019552078
runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L_V1024_B4x8_S20000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,L,7,1024,101033041,3.125e-05,4,8,32,20000,20000,655360000,655360000,112,11,False,derived_from_best_mse,20000,1.2061511988639833,6000,0.5548632910251617,-1,1.51265576452413,0.7137250645160675,1.51265576452413,20000,1.2061511988639833,0.7137250645160675,1.51265576452413
runs\sweep_gpu_scaling_XL\XL_V1024_B2x16_S20000_seed7,XL_V1024_B2x16_S20000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XL,7,1024,341557249,3.125e-05,2,16,32,20000,20000,655360000,655360000,112,11,False,derived_from_best_mse,16000,1.2585944329500198,16000,0.6190887348651886,-1,1.5339363176509742,0.6190887348651886,1.5339363176509742,20000,1.4325698430538178,0.6761305809020997,1.5986734954430384
